Tom's here.	Tom er her.
I'll do everything you tell me to do.	Jeg gør alt hvad du beder mig om.
I can't resist sweet things.	Jeg kan ikke modstå søde sager.
I'm having a hard time with French grammar.	Jeg har problemer med den franske grammatik.
It's not a trick question.	Det er ikke et trickspørgsmål.
Maybe I should stay here with Tom.	Måske skulle jeg blive her hos Tom.
You're both right.	I har begge to ret.
Butter is made from milk.	Smør er lavet af mælk.
Save money for a rainy day.	Sørg for at have penge på kistebunden.
She doesn't have any brothers.	Hun har ingen brødre.
I'm Tom's niece.	Jeg er Toms niece.
He works very hard.	Han arbejder meget hårdt.
Start now.	Begynd nu.
Don't use the iron, electric kettle, and electric stove at the same time.	Brug ikke strygejernet, elkedlen og komfuret samtidig.
That's what she said.	Det er hvad hun sagde.
I lost my mobile phone.	Jeg mistede min mobil.
The dog is dead.	Hunden er død.
What is love?	Hvad er kærlighed?
The weather report says it will rain tomorrow afternoon.	Vejrmeldingen siger at det vil regne i morgen eftermiddag.
He was acquitted.	Han blev frikendt.
I wish I could.	Gid jeg kunne!
This coffee is not hot enough.	Denne kaffe er ikke varm nok.
Mary is my mother-in-law.	Mary er min svigermor.
Does that make sense?	Giver det mening?
What's wrong?	Hvad er der galt?
I have not seen much of him recently.	Jeg har ikke set meget til ham på det seneste.
Tom wanted some more elbow room.	Tom ønskede noget mere albuerum.
I had brown hair before I went bald.	Jeg havde brunt hår før jeg blev skaldet.
The capital of Japan is Tokyo.	Hovedstaden i Japan er Tokyo.
Tom said that he thought Mary's punishment was appropriate.	Tom sagde at han syntes at Marys straf var passende.
I wonder if Tom misses me.	Jeg gad vide om Tom savner mig.
Tell Tom I'm not home.	Fortæl Tom at jeg ikke er hjemme.
The coach gave him some good advice.	Træneren gav ham nogle gode råd.
Hold the ball with both hands.	Hold bolden med begge hænder.
I wonder what happened to the ancient Romans.	Hvad skete der mon med oldtidens romere?
Almost all the students believed the rumor.	Næsten alle studerende troede på rygtet.
I would like to see Tom one more time.	Jeg kunne godt tænke mig at se Tom en gang til.
Where is the closest train station?	Hvor er nærmeste togstation?
I don't have a car and Tom doesn't either.	Jeg har ikke en bil, og det har Tom heller ikke.
She has a small house.	Hun har et lille hus.
One of these eggs hasn't hatched yet.	Et af disse æg er ikke udklækket endnu.
What is your name?	Hvad hedder De?
Tom named his dog Cookie.	Tom kaldte sin hund for Cookie.
I've got something to show you.	Jeg har noget du skal se.
My glass is full.	Mit glas er fyldt.
My father stopped drinking.	Min far holdt op med at drikke.
What ship were you on?	Hvilket skib var du på?
His skin was warm.	Hans hud var varm.
He is good for nothing.	Han duer ikke.
Is Tom Canadian?	Er Tom canadisk?
How many times do I have to say that?	Hvor mange gange skal jeg sige det?
Tom looks good for his age.	Tom ser godt ud af sin alder.
Tom took an apple from the fruit bowl.	Tom tog et æble fra frugtskålen.
I refuse to use plastic bags.	Jeg nægter at bruge plastikposer.
We've got plenty of time.	Vi har masser af tid.
My eyes hurt.	Mine øjne gør ondt.
Tom bought a very cheap camera.	Tom har købt et meget billigt fotografiapparat.
Where were you on the night of October 20th?	Hvor var du om aftenen den 20. oktober og natten til den 21.?
She screamed with terror.	Hun skreg af skræk.
What he said turned out to be a lie.	Hvad han sagde, viste sig at være en løgn.
This is not a sentence.	Dette er ikke en sætning.
I have a lot of money in my savings account.	Jeg har mange penge på min opsparingskonto.
I'll teach you how to play chess.	Jeg vil lære dig hvordan man spiller skak.
Tom imitated Mary.	Tom imiterede Mary.
It took us half an hour to set up the tent.	Det tog os en halv time at sætte teltet op.
Whip the egg-whites until they are stiff.	Pisk æggehviden stiv.
It's starting to snow.	Det begynder at sne.
I have as many books as Tom does.	Jeg har lige så mange bøger som Tom.
Did you choose an interesting book for your son?	Har du valgt en interessant bog til din søn?
I bike to work.	Jeg cykler til arbejde.
They forgot my birthday.	De glemte min fødselsdag.
I'm not a child.	Jeg er ikke et barn.
We have three sons.	Vi har tre sønner.
Tom didn't think Mary would eat the salad if it had onions in it.	Tom tænkte at Mary ikke ville spise salaten hvis der var løg i.
Are you calling from Australia?	Ringer du fra Australien?
I still think Tom is innocent.	Jeg tror stadig at Tom er uskyldig.
I'm writing a book.	Jeg er ved at skrive en bog.
Are there any souvenir shops here?	Er der nogle souvenirbutikker her?
You always disagree with me.	Du er altid uenig med mig.
Hold the vase with both hands.	Hold vasen med begge hænder.
Tom insulted Mary.	Tom fornærmede Mary.
Let's get together and talk about old times.	Lad os mødes og tale om gamle dage.
It's easy to answer your question.	Det er let at svare på dit spørgsmål.
Pick a weapon.	Vælg et våben!
What is your first name?	Hvad er dit fornavn?
I don't like big dogs.	Jeg bryder mig ikke om store hunde.
Everyone looks tired.	Alle ser trætte ud.
Tom knew that Mary was in danger.	Tom vidste at Mary var i fare.
I gave up smoking six months ago.	Jeg holdt op med at ryge for seks måneder siden.
I overslept and was not able to catch the bus.	Jeg sov over mig og var ikke i stand til at nå bussen.
Tom poured milk into the cup.	Tom hældte mælk i koppen.
I love books.	Jeg elsker bøger.
May I swim in this lake?	Må jeg svømme i denne sø?
He denied it.	Han benægtede det.
We'd better go home now.	Det er bedst at vi går hjem nu.
I never cheat.	Jeg snyder aldrig.
You can ask the child that is playing over there.	Du kan spørge barnet, der leger derovre.
Tom spends a lot of time on the phone.	Tom bruger meget tid med at telefonere.
An old woman is walking across the road.	En ældre kvinde går over vejen.
You should quit smoking.	I burde holde op med at ryge.
Don't listen to her.	Lyt ikke til hende.
"Where's his book?" "It's on the table."	"Hvor er hans bog?" "Den er på bordet."
I see the girl.	Jeg ser pigen.
Tom built an igloo in his backyard.	Tom har bygget en igloo i sin baghave.
The birds are singing.	Fuglene synger.
This car isn't mine. It's Tom's.	Den her er ikke min bil. Det er Toms.
I'm practising judo.	Jeg træner judo.
I'm able to read French.	Jeg er i stand til at læse fransk.
Your phone is ringing.	Din telefon ringer.
You're my child.	Du er mit barn.
Everything is coming together.	Alt går op i en højere enhed.
I was your mother's first boyfriend.	Jeg var din mors første kæreste.
They seem to be enjoying themselves.	De ser ud til at more sig.
He looks exactly like his brother.	Han ligner sin bror på en plet.
May I open the window?	Må jeg lukke vinduet op?
I'll never do it again.	Jeg gør det aldrig igen.
He caught the chicken.	Han fangede kyllingen.
She put some money away for a rainy day.	Hun lagde nogle penge til side til en regnvejrsdag.
Thank you very much for all you have done.	Mange tak for alt hvad du har gjort.
Would you like to have another cup of tea?	Vil du have en kop te mere?
I neither drink nor smoke.	Jeg drikker ikke, og jeg ryger heller ikke.
That store sells men's wear.	Den butik der sælger herretøj.
He felt as if he were in a dream.	Han følte sig som i en drøm.
You can't come with us.	Du kan ikke komme med os.
I have a boat and a car.	Jeg har en båd og en bil.
Dad is in the kitchen because he's cooking.	Far er i køkkenet fordi han laver mad.
I usually wear jeans on Sunday.	Jeg har normalt cowboybukser på om søndagen.
The call is free of charge.	Opkaldet er gratis.
Tom ate half a bag of potato chips.	Tom spiste en halv pose chips.
How many people are there in this office?	Hvor mange mennesker er der på dette kontor?
My favorite singer is Kylie Minogue.	Min favoritsanger er Kylie Minogue.
Tom phoned.	Tom har ringet.
Everybody panicked.	Alle blev grebet af panik.
Mary reminds me of my mother.	Mary minder mig om min mor.
Do you know how to drive a car?	Kan du køre bil?
Tom wasn't able to do what he wanted to do.	Tom var ikke i stand til at gøre det han ønskede at gøre.
I know that girl's name.	Jeg ved hvad den pige hedder.
Why are you guys so angry?	Hvorfor er I så vrede?
Tom isn't going to come home.	Tom kommer ikke hjem.
Tom was home.	Tom var hjemme.
Tom won $10,000 in the lottery.	Tom har vundet 10.000 dollar i lotteriet.
Tom wrote some country songs.	Tom skrev nogle countrysange.
I watch television.	Jeg ser tv.
He fed the horse.	Han fodrede hesten.
It's been snowing all night.	Det har sneet hele natten.
I heard you just got married.	Jeg har hørt at du lige er blevet gift.
Tom eats anything Mary puts in front of him.	Tom spiser alt hvad Mary stiller hen foran ham.
The station is situated in between the two towns.	Stationen ligger mellem de to byer.
I'll return home tomorrow.	Jeg kommer hjem i morgen.
I'm having some legal problems.	Jeg har nogle juridiske problemer.
Tom tried to save me.	Tom forsøgte at redde mig.
It doesn't matter.	Det er lige meget.
Can I take a message?	Er der nogen besked?
I go to school every day.	Jeg går i skole hver dag.
In the land of the blind, the one-eyed man is king.	I de blindes rige er den enøjede konge.
Does your wife work?	Arbejder din kone?
I love my mom.	Jeg elsker min mor.
Our train went through a long tunnel.	Vores tog kørte igennem en lang tunnel.
How much did Tom tell you?	Hvor meget har Tom fortalt dig?
She has married a nobody.	Hun har giftet sig med et nul.
Tom is a true artist.	Tom er en sand kunstner.
I love you more and more each day.	Jeg elsker dig mere og mere for hver dag der går.
I went home.	Jeg gik hjem.
It's cold.	Det er koldt.
Mary is very beautiful, but she's not very smart.	Mary er meget smuk, men hun er ikke ret klog.
The dog likes you.	Hunden kan lide dig.
You're an idiot.	Du er en idiot.
Tom helped out.	Tom har hjulpet.
He will be coming to the party.	Han vil komme til festen.
Tom got on the train.	Tom kom på toget.
Tom renewed his driver's license three weeks ago.	Tom fornyede sit kørekort for tre uger siden.
It is snowing now.	Det sner nu.
I have a pair of mittens.	Jeg har et par vanter.
Do you have a pen?	Har du en pen?
It is difficult for me to pronounce the word.	Det er vanskeligt for mig at udtale ordet.
I don't know what you mean.	Jeg ved ikke hvad du mener.
My father drives to work.	Min far kører på arbejde.
You look gorgeous in that dress.	Du ser strålende ud i den kjole.
She is out now.	Hun er ude nu.
You guys are amazing.	I er utrolige.
I don't owe anyone anything.	Jeg skylder ikke nogen noget.
The radio doesn't work.	Radioapparatet virker ikke.
I went to the doctor.	Jeg gik til læge.
The apple is not quite ripe yet.	Æblet er ikke helt modent endnu.
I'm from Canada.	Jeg er fra Canada.
I lived in Boston.	Jeg boede i Boston.
I didn't need your help.	Jeg havde ikke brug for jeres hjælp.
Tom is our French teacher.	Tom er vores fransklærer.
Did they go to museum by bus?	Tog de bussen til museet?
You mean the world to me, you really do.	Du betyder alt for mig. Det gør du virkelig!
I forgot to lock the door.	Jeg har glemt at låse døren.
He doesn't watch TV at all.	Han ser slet ikke fjernsyn.
I owe him 100 yen.	Jeg skylder ham 100 yen.
Tom told his son the story about a monster that ate children.	Tom fortalte sin søn en historie om et monster, der spiste børn.
Tom spent an hour shoveling the driveway.	Tom brugte en time på at skovle indkørslen fri for sne.
He's always asking silly questions.	Han stiller hele tiden dumme spørgsmål.
Do it as soon as possible.	Gør det snarest muligt.
How many digits does that number have?	Hvor mange cifre har det tal?
Tom is a wimp.	Tom er en pjok.
Many countries have passed laws to prohibit people from smoking in public places.	Mange lande har lavet love der forbyder rygning på offentlige steder.
Too many cooks spoil the broth.	For mange kokke fordærver maden.
Tom says that he only eats organic food.	Tom siger at han kun spiser økologiske fødevarer.
You're the only one.	Du er den eneste.
There's been an accident.	Der er sket en ulykke.
My dream has come true.	Min drøm er blevet til virkelighed.
Please close the window.	Luk venligst vinduet.
Tom speaks French, doesn't he?	Tom taler fransk, ikke sandt?
I can't tie my shoes.	Jeg kan ikke binde mine snørebånd.
The socks smell bad.	Sokkerne stinker.
You may enter.	Du må godt komme ind.
All Tom needed was some space.	Alt hvad Tom havde brug for, var noget tid.
What was Tom doing here?	Hvad skulle Tom her?
It's a stupid law.	Det er en dum lov.
I am building a wall.	Jeg bygger en mur.
Do you still need a babysitter for Monday night?	Har du stadig brug for en babysitter for mandag aften.
Do you need a ride?	Har du brug for et lift?
The box was open and empty.	Kassen var åben og tom.
Tom is afraid because he doesn't understand what's going on.	Tom er bange fordi han ikke forstår, hvad der foregår.
